Dataset,Metric,WaveformNet,FNO,X-Net (Adam),Invertible X-Net,Invertible X-Net (Cycle),Invertible X-Net (Forward Only),Latent U-Net (Small),Latent U-Net (Large),Auto-Linear
FVA,MAE,0.07366274297237396,0.00770248519256711,0.03681609034538269,0.02575424127280712,0.0315065011382103,0.03296464309096336,0.04931111633777618,0.03894108906388283,0.03405788540840149
FVB,MAE,0.09452304989099503,0.03857836127281189,0.04876567795872688,0.05270135402679443,0.04313409328460693,0.05069338530302048,0.07261831313371658,0.04736330360174179,0.09068485349416733
CVA,MAE,0.124331459403038,0.07007291167974472,0.06628929823637009,0.05322225764393806,0.04305488616228104,0.05274210497736931,0.07076537609100342,0.05811101570725441,0.07443101704120636
CVB,MAE,0.1755820363759995,0.1405008286237717,0.1142812371253967,0.08878019452095032,0.08698311448097229,0.09458953887224197,0.1296716332435608,0.1098057329654694,0.153795599937439
FFA,MAE,0.08597874641418457,0.02822680957615376,0.07227733731269836,0.04575823247432709,0.04862890020012856,0.05728836730122566,0.04059708118438721,0.05122025683522224,0.05416915193200111
FFB,MAE,0.1314059644937515,0.08295369893312454,0.05476601049304008,0.04778230935335159,0.04739147797226906,0.05448055639863014,0.07992685586214066,0.059430081397295,0.1048735082149506
CFA,MAE,0.1061204373836517,0.06054799631237984,0.07381246238946915,0.04045212641358376,0.04179175570607185,0.07106775045394897,0.06000758334994316,0.05760294944047928,0.07032510638237
CFB,MAE,0.1589318513870239,0.1075960099697113,0.08146646618843079,0.06719262897968292,0.06507998704910278,0.07789792120456696,0.1119447126984596,0.08916406333446503,0.1356030851602554
STA,MAE,0.09271682798862457,0.02926914766430855,0.01771902851760387,0.02352100610733032,0.02199406549334526,0.03954033926129341,0.03513079136610031,0.0269019715487957,0.0492849089205265
STB,MAE,0.09626567363739014,0.03790644928812981,0.02135415561497211,0.03410467877984047,0.0299755372107029,0.03264204412698746,0.04619600251317024,0.03548990935087204,0.05846820399165154
