Dataset,Metric,InversionNet (L1+L2+VGG),InversionNet,VelocityGAN,Invertible XNet (Adam),Invertible X-Net,Invertible X-Net (Cycle),IUnetInverseModel,Latent U-Net (Small),Latent U-Net (Large),Auto-Linear
FVA,SSIM,0.9976020842790604,0.9894787679115932,0.9916336253285408,0.9964066341519355,0.9917297184467315,0.9933063005407651,0.9927776013811429,0.9967840477824211,0.9967080324888229,0.9887789204716683
FVB,SSIM,0.9730999052524567,0.9461281349261602,0.9521304070949554,0.972350633641084,0.9769618759552637,0.9727533782521883,0.971204237639904,0.9779317056139311,0.980920498073101,0.9044117261966069
CVA,SSIM,0.8784011274576187,0.8073974957068761,0.862446436782678,0.8922677606344223,0.9135397002100945,0.9156900068124135,0.9171200364828109,0.9076286365588506,0.9273103922605515,0.8056664710243543
CVB,SSIM,0.7316147943337759,0.6726902474959692,0.7111358722050984,0.7656094878911972,0.8076329186558724,0.7982921570539474,0.8083205372095108,0.7693855732679367,0.8156503543257714,0.6169439067443212
FFA,SSIM,0.9752993389964104,0.976579129199187,0.9313388884067535,0.988033012052377,0.9826894114414851,0.9865328843394915,0.9683689211805662,0.9890047530333201,0.9910045633713405,0.9700924923022588
FFB,SSIM,0.7420197402437528,0.720807724694411,0.7475698093573252,0.7800493488709132,0.8532084176937739,0.8564044013619423,0.8568913146853447,0.8059779991706212,0.8515226701895396,0.6865740338961284
CFA,SSIM,0.9695344259341557,0.9566055208444595,0.9613393599788348,0.970537754893303,0.9316456153988838,0.9686213076114655,0.950007610519727,0.9758408159017563,0.9800246819853783,0.9424620792269707
CFB,SSIM,0.6091408764322599,0.613604794939359,0.5996031254529953,0.6272807876269023,0.7116859833399455,0.7092007045944532,0.7042021359006564,0.6366154506802559,0.6930898154775301,0.5695361912250518
STA,SSIM,0.8945079113755907,0.8858594822032111,0.8883140568222319,0.901330628139632,0.9360840014048986,0.9325535527297428,0.9278835279600961,0.8835258666958128,0.9298297005040305,0.8422901681491307
STB,SSIM,0.7287658206054143,0.631438125031335,0.6953544944524765,0.7601465518985476,0.791309432898249,0.7785527114357267,0.6255682728120259,0.7637002600090844,0.8064031916005271,0.7274766836847578
